Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
227,SWR43P,287.970586,11.8015,1.496,4.75728,2373
228,SWR44K,287.970586,11.8015,1.35106,4.29637,2354
229,AZA215,287.970586,11.8015,1.39804,4.44578,2408
230,AZA217,287.970586,11.8015,1.41557,4.50151,2411
231,AZA227,287.970586,11.8015,1.39234,4.42763,2407
232,AZA72B,287.970586,11.8015,1.42404,4.52844,2413
233,AZA82J,287.970586,11.8015,1.47577,4.69296,2422
234,CFE1AM,287.970586,11.8015,1.51312,4.81172,2351
235,CFE505T,287.970586,11.8015,1.15076,3.65942,2456
236,CFE53TK,287.970586,11.8015,1.43479,4.56263,2414
237,CFE5VZ,287.970586,11.8015,1.54815,4.92311,2360
238,CFE7349,287.970586,11.8015,1.46177,4.64842,2416
239,EZY21UK,287.970586,11.8015,1.90941,6.07194,2328
240,EZY82XF,287.970586,11.8015,1.87161,5.95171,2281
241,GLJ11FX,287.970586,11.8015,0.822292,2.61489,2957
242,NJE854G,287.970586,11.8015,0.72761,2.3138,2269
243,REN91K,287.970586,11.8015,0.834203,2.65276,2901
244,SWR435,287.970586,11.8015,1.61466,5.13462,2402
245,SWR43P,287.970586,11.8015,1.49758,4.76232,2374
246,SWR44K,287.970586,11.8015,1.53268,4.87394,2381
247,AZA215,287.970586,11.8015,1.4072,4.47491,2410
248,AZA217,287.970586,11.8015,1.46177,4.64842,2416
249,AZA227,287.970586,11.8015,1.44118,4.58294,2413
250,AZA82J,287.970586,11.8015,1.45018,4.61157,2417
251,CFE1AM,287.970586,11.8015,1.51312,4.81172,2351
252,CFE2285,287.970586,11.8015,1.50462,4.78468,2348
253,CFE33E,287.970586,11.8015,1.51312,4.81172,2351
254,CFE47L,287.970586,11.8015,1.41157,4.4888,2411
255,CFE53TK,287.970586,11.8015,1.41557,4.50151,2411
256,CFE5VZ,287.970586,11.8015,1.55642,4.94943,2362
257,CFE72E,287.970586,11.8015,1.46062,4.64476,2419
258,CFE7349,287.970586,11.8015,1.44711,4.6018,2416
259,EZY82XF,287.970586,11.8015,1.84197,5.85747,2276
260,HBFXF,287.970586,11.8015,0.187822,0.597273,4333
261,ICDOL,287.970586,11.8015,0.468309,1.48922,2623
262,JBC213G,287.970586,11.8015,0.456845,1.45277,2403
263,LNX62FJ,287.970586,11.8015,0.397267,1.26331,2975
264,N707SN,287.970586,11.8015,0.182382,0.579975,3570
265,PRSFB,287.970586,11.8015,0.720493,2.29117,2270
266,STK3AP,287.970586,11.8015,1.63033,5.18444,2456
267,SWR435,287.970586,11.8015,1.53467,4.88026,2382
268,SWR43P,287.970586,11.8015,1.49131,4.74237,2372
269,SWR44K,287.970586,11.8015,1.56862,4.98822,2390
270,CFE1AM,287.970586,11.8015,1.55498,4.94483,2362
271,CFE8741,287.970586,11.8015,1.51036,4.80295,2351
272,EZY7369,287.970586,11.8015,1.79591,5.711,2270
273,EZY82XF,287.970586,11.8015,1.83729,5.84259,2276
274,GAC035L,287.970586,11.8015,0.280798,0.892938,3270
275,GCFGB,287.970586,11.8015,0.746718,2.37456,2349
276,STK3AP,287.970586,11.8015,1.58816,5.05034,2446
277,SWR435,287.970586,11.8015,1.47745,4.69828,2369
278,SWR44K,287.970586,11.8015,1.50466,4.78481,2375
279,XJC269P,287.970586,11.8015,0.352617,1.12132,2782
280,CFE33E,287.970586,11.8015,1.54674,4.91862,2360
281,CFE5VZ,287.970586,11.8015,1.52425,4.84713,2354
282,CFE8741,287.970586,11.8015,1.53242,4.8731,2356
283,EZY21UK,287.970586,11.8015,1.96374,6.24469,2320
284,EZY7369,287.970586,11.8015,1.96109,6.23627,2296
285,EZY82XF,287.970586,11.8015,1.81446,5.76999,2272
286,SWR435,287.970586,11.8015,1.58167,5.02971,2393
287,SWR43P,287.970586,11.8015,1.49447,4.75241,2373
288,VCG1UB,287.970586,11.8015,0.515034,1.63781,2563
289,AZA215,287.970586,11.8015,1.50172,4.77547,2427
290,AZA217,287.970586,11.8015,1.3938,4.43227,2407
291,AZA219,287.970586,11.8015,1.40336,4.46269,2410
292,AZA227,287.970586,11.8015,1.41557,4.50151,2411
293,AZA72B,287.970586,11.8015,1.39804,4.44578,2408
294,AZA82J,287.970586,11.8015,1.41557,4.50151,2411
295,CFE1AM,287.970586,11.8015,1.54341,4.90804,2359
296,CFE33E,287.970586,11.8015,1.51873,4.82957,2353
297,CFE505T,287.970586,11.8015,1.19312,3.79411,2466
298,CFE53TK,287.970586,11.8015,1.44056,4.58098,2385
299,CFE5VZ,287.970586,11.8015,1.56281,4.96972,2364
300,CFE7349,287.970586,11.8015,1.45996,4.64268,2389
301,CFE79J,287.970586,11.8015,1.43583,4.56593,2385
302,MILLA,287.970586,11.8015,0.45413,1.44413,2397
303,PHWTC,287.970586,11.8015,0.739595,2.35191,2286
304,STK3AP,287.970586,11.8015,1.51277,4.81059,2434
305,SWR435,287.970586,11.8015,1.57839,5.01929,2392
306,SWR43P,287.970586,11.8015,1.48666,4.72756,2371
307,SWR44K,287.970586,11.8015,1.49447,4.75241,2373
308,AHO689U,287.970586,11.8015,0.478192,1.52065,2569
309,AZA215,287.970586,11.8015,1.51891,4.83014,2430
310,AZA217,287.970586,11.8015,1.41557,4.50151,2411
311,AZA219,287.970586,11.8015,1.41557,4.50151,2411
312,AZA227,287.970586,11.8015,1.36787,4.34982,2405
