Airspace,Function,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
383ed861-52aa-4ac5-8abe-b4703dbbc703,Current,0,0,0,0,0,0,0
383ed861-52aa-4ac5-8abe-b4703dbbc703,Delta,0,0,0,0,0,0,0
cac329cd-4353-43ac-b2f1-38c4230d3552,Baseline,0,0,0,0,0,0,0
cac329cd-4353-43ac-b2f1-38c4230d3552,Current,0,0,0,0,0,0,0
cac329cd-4353-43ac-b2f1-38c4230d3552,Delta,0,0,0,0,0,0,0
450bd7b9-9403-4d85-85f6-758976b63a69,Baseline,0,0,0,0,0,0,0
450bd7b9-9403-4d85-85f6-758976b63a69,Current,0,0,0,0,0,0,0
450bd7b9-9403-4d85-85f6-758976b63a69,Delta,0,0,0,0,0,0,0
611e4bb5-f527-4cbb-8d33-464203f8ddee,Baseline,0,0,0,0,0,0,0
611e4bb5-f527-4cbb-8d33-464203f8ddee,Current,0,0,0,0,0,0,0
611e4bb5-f527-4cbb-8d33-464203f8ddee,Delta,0,0,0,0,0,0,0
2d407587-a401-41fb-a628-a65d254646c7,Baseline,0,0,0,0,0,0,0
2d407587-a401-41fb-a628-a65d254646c7,Current,0,0,0,0,0,0,0
2d407587-a401-41fb-a628-a65d254646c7,Delta,0,0,0,0,0,0,0
d8cc7331-cac2-4c3a-9770-c9ff2a67ad06,Baseline,0,0,0,0,0,0,0
d8cc7331-cac2-4c3a-9770-c9ff2a67ad06,Current,0,0,0,0,0,0,0
d8cc7331-cac2-4c3a-9770-c9ff2a67ad06,Delta,0,0,0,0,0,0,0
ea2c9c75-dbba-4f51-be2a-4169b702ae7a,Baseline,0,0,0,0,0,0,0
ea2c9c75-dbba-4f51-be2a-4169b702ae7a,Current,0,0,0,0,0,0,0
ea2c9c75-dbba-4f51-be2a-4169b702ae7a,Delta,0,0,0,0,0,0,0
f10d8b41-4965-481a-9dea-dcf616d62af4,Baseline,0,0,0,0,0,0,0
f10d8b41-4965-481a-9dea-dcf616d62af4,Current,0,0,0,0,0,0,0
f10d8b41-4965-481a-9dea-dcf616d62af4,Delta,0,0,0,0,0,0,0
4b8141e6-66ee-48af-ac1e-0f6ecde11913,Baseline,0,0,0,0,0,0,0
4b8141e6-66ee-48af-ac1e-0f6ecde11913,Current,0,0,0,0,0,0,0
4b8141e6-66ee-48af-ac1e-0f6ecde11913,Delta,0,0,0,0,0,0,0
