Airspace,Key,Function,TimeOfDay,DESCEND,CLIMB,ASSUME_EXT,ASSUME_INT,HANDOVER_EXT,HANDOVER_INT,FP_MONITORING
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,13:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,13:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,13:00,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,13:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,13:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,13:10,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,13:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,13:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Delta,13:20,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Baseline,13:30,0,0,0,0,0,0,0
AC S01,3003c681-91a2-4849-8d69-fe4a7ffe9de7,Current,13:30,0,0,0,0,0,0,0
