Callsign,Track Miles,3Di Score,Fuel Burn,CO2,Flight Time
410,BCS6789,217.337217,42.8049,4.50911,14.339,2062
411,WUK501,217.337217,42.4114,2.27926,7.24804,2075
412,N280EX,217.337217,41.0065,0.71444,2.27192,2154
413,EZY96YG,217.337217,40.7555,2.0656,6.5686,2115
414,ULC52,217.337217,42.8125,1.37972,4.3875,2041
415,WUK5AY,217.337217,42.5461,2.30346,7.32499,2079
416,WZZ217,217.337217,42.5891,2.17287,6.90974,2080
417,RYR973H,217.337217,42.8735,2.24548,7.14064,2077
418,WZZ14AA,217.337217,42.5461,2.30346,7.32499,2079
419,BZE07B,217.337217,30.054,0.560712,1.78306,2918
420,ESW650,217.337217,42.8125,1.37972,4.3875,2041
421,RKS1,217.337217,42.6589,1.36979,4.35593,2029
422,SXS8KU,217.337217,42.8735,2.24548,7.14064,2077
423,BMS7VV,217.337217,42.2018,1.99586,6.34682,2117
424,WUK8XN,217.337217,42.5461,2.30346,7.32499,2079
425,EZY38ZR,217.337217,43.0421,2.01566,6.40979,2075
426,EZY18DH,217.337217,42.5891,2.17287,6.90974,2080
427,WZZ371,217.337217,42.5891,2.17287,6.90974,2080
428,YUBZZ,217.337217,40.6851,0.392553,1.24832,2492
429,NJE492E,217.337217,42.3201,0.461332,1.46704,2303
430,WUK452,217.337217,42.5891,2.17287,6.90974,2080
431,WUK3WT,217.337217,42.5461,2.30346,7.32499,2079
432,RYR46YN,217.337217,42.8735,2.24548,7.14064,2077
433,EZY71DC,217.337217,40.9516,1.94401,6.18196,2142
434,LNX46TC,6.234838,2.46551,0.0559552,0.177938,125
435,VLG84AS,217.337217,40.7555,2.0656,6.5686,2115
436,WZZ2SK,217.337217,42.5891,2.17287,6.90974,2080
437,RJR004,217.337217,30.2196,0.62743,1.99523,2919
